0,1,2,3
672.796936035,797.815490723,814.265258789,684.311828613
671.151977539,786.300598145,837.29498291,684.311828613
674.441955566,786.300598145,845.519897461,687.601806641
676.086914062,791.235534668,843.874938965,699.116638184
679.37689209,789.590576172,847.164855957,705.696594238
697.471679688,796.170471191,815.91027832,708.98651123
704.051574707,794.525512695,820.845214844,718.856384277
712.276489258,779.720703125,853.744812012,736.951171875
718.856384277,783.010620117,834.005004883,736.951171875
723.791320801,783.010620117,835.650024414,746.821105957
741.886108398,781.365661621,829.070068359,764.91583252
764.91583252,786.300598145,819.200195312,776.430725098
778.075683594,791.235534668,832.360046387,791.235534668
796.170471191,786.300598145,834.005004883,820.845214844
799.460449219,784.655639648,848.809875488,820.845214844
792.880554199,789.590576172,843.874938965,815.91027832
792.880554199,791.235534668,825.780151367,815.91027832
801.105407715,791.235534668,830.715087891,825.780151367
810.975280762,802.750427246,814.265258789,827.425109863
829.070068359,802.750427246,815.91027832,838.940002441
830.715087891,801.105407715,830.715087891,852.09979248
837.29498291,797.815490723,840.584960938,863.614685059
843.874938965,794.525512695,840.584960938,873.484558105
843.874938965,806.040344238,832.360046387,868.549621582
843.874938965,809.330322266,829.070068359,858.679748535
845.519897461,812.620300293,835.650024414,860.324707031
857.034729004,815.91027832,829.070068359,870.194580078
863.614685059,810.975280762,843.874938965,889.934387207
873.484558105,812.620300293,845.519897461,891.579345703
873.484558105,822.49017334,835.650024414,884.999450684
871.839599609,827.425109863,835.650024414,871.839599609
871.839599609,830.715087891,832.360046387,871.839599609
871.839599609,830.715087891,834.005004883,880.064453125
881.709472656,822.49017334,852.09979248,904.739196777
884.999450684,825.780151367,847.164855957,904.739196777
886.64440918,832.360046387,842.229919434,893.224304199
888.289367676,827.425109863,858.679748535,899.804260254
884.999450684,827.425109863,850.454833984,899.804260254
888.289367676,830.715087891,850.454833984,904.739196777
883.354431152,829.070068359,848.809875488,894.86932373
878.419494629,832.360046387,837.29498291,873.484558105
876.774536133,824.135131836,848.809875488,884.999450684
876.774536133,815.91027832,850.454833984,888.289367676
873.484558105,822.49017334,838.940002441,866.904663086
873.484558105,824.135131836,843.874938965,860.324707031
875.129516602,820.845214844,847.164855957,865.259643555
868.549621582,820.845214844,847.164855957,873.484558105
871.839599609,815.91027832,842.229919434,891.579345703
871.839599609,819.200195312,852.09979248,881.709472656
871.839599609,825.780151367,855.389770508,876.774536133
876.774536133,829.070068359,852.09979248,881.709472656
873.484558105,835.650024414,842.229919434,871.839599609
871.839599609,838.940002441,840.584960938,868.549621582
870.194580078,837.29498291,847.164855957,866.904663086
868.549621582,837.29498291,848.809875488,875.129516602
871.839599609,834.005004883,852.09979248,880.064453125
866.904663086,842.229919434,840.584960938,875.129516602
865.259643555,838.940002441,845.519897461,881.709472656
860.324707031,834.005004883,848.809875488,870.194580078
852.09979248,834.005004883,840.584960938,858.679748535
855.389770508,837.29498291,834.005004883,853.744812012
855.389770508,845.519897461,832.360046387,853.744812012
853.744812012,855.389770508,843.874938965,847.164855957
857.034729004,858.679748535,843.874938965,845.519897461
860.324707031,852.09979248,852.09979248,847.164855957
858.679748535,860.324707031,837.29498291,837.29498291
858.679748535,858.679748535,834.005004883,850.454833984
853.744812012,853.744812012,843.874938965,852.09979248
848.809875488,853.744812012,847.164855957,843.874938965
848.809875488,845.519897461,852.09979248,857.034729004
848.809875488,847.164855957,847.164855957,850.454833984
847.164855957,858.679748535,837.29498291,843.874938965
853.744812012,855.389770508,840.584960938,852.09979248
855.389770508,850.454833984,842.229919434,843.874938965
858.679748535,845.519897461,843.874938965,860.324707031
860.324707031,843.874938965,840.584960938,852.09979248
857.034729004,847.164855957,842.229919434,832.360046387
855.389770508,847.164855957,842.229919434,837.29498291
857.034729004,845.519897461,847.164855957,832.360046387
853.744812012,843.874938965,855.389770508,840.584960938
850.454833984,848.809875488,847.164855957,845.519897461
845.519897461,853.744812012,842.229919434,837.29498291
843.874938965,848.809875488,842.229919434,834.005004883
843.874938965,850.454833984,837.29498291,837.29498291
850.454833984,850.454833984,837.29498291,847.164855957
850.454833984,853.744812012,842.229919434,840.584960938
843.874938965,852.09979248,847.164855957,842.229919434
845.519897461,845.519897461,848.809875488,843.874938965
843.874938965,837.29498291,857.034729004,848.809875488
842.229919434,842.229919434,845.519897461,845.519897461
842.229919434,845.519897461,840.584960938,838.940002441
843.874938965,843.874938965,847.164855957,838.940002441
847.164855957,847.164855957,840.584960938,835.650024414
843.874938965,845.519897461,840.584960938,835.650024414
838.940002441,840.584960938,830.715087891,829.070068359
837.29498291,835.650024414,840.584960938,835.650024414
837.29498291,827.425109863,847.164855957,845.519897461
840.584960938,827.425109863,855.389770508,848.809875488
838.940002441,832.360046387,848.809875488,847.164855957
842.229919434,819.200195312,848.809875488,848.809875488
840.584960938,827.425109863,840.584960938,835.650024414
843.874938965,830.715087891,834.005004883,829.070068359
845.519897461,827.425109863,842.229919434,835.650024414
840.584960938,829.070068359,837.29498291,834.005004883
843.874938965,824.135131836,840.584960938,843.874938965
843.874938965,822.49017334,842.229919434,840.584960938
843.874938965,822.49017334,840.584960938,837.29498291
848.809875488,815.91027832,848.809875488,843.874938965
847.164855957,815.91027832,853.744812012,850.454833984
842.229919434,819.200195312,847.164855957,838.940002441
840.584960938,824.135131836,840.584960938,829.070068359
832.360046387,820.845214844,835.650024414,827.425109863
834.005004883,815.91027832,835.650024414,830.715087891
835.650024414,807.68536377,843.874938965,837.29498291
835.650024414,794.525512695,850.454833984,843.874938965
837.29498291,791.235534668,855.389770508,842.229919434
838.940002441,786.300598145,858.679748535,847.164855957
834.005004883,789.590576172,853.744812012,847.164855957
835.650024414,799.460449219,843.874938965,837.29498291
840.584960938,792.880554199,855.389770508,843.874938965
840.584960938,796.170471191,852.09979248,850.454833984
842.229919434,794.525512695,857.034729004,853.744812012
838.940002441,797.815490723,852.09979248,837.29498291
838.940002441,792.880554199,850.454833984,843.874938965
834.005004883,799.460449219,842.229919434,832.360046387
834.005004883,797.815490723,855.389770508,838.940002441
837.29498291,792.880554199,855.389770508,848.809875488
840.584960938,796.170471191,855.389770508,837.29498291
832.360046387,799.460449219,852.09979248,829.070068359
837.29498291,799.460449219,852.09979248,835.650024414
827.425109863,794.525512695,853.744812012,834.005004883
822.49017334,796.170471191,858.679748535,837.29498291
824.135131836,809.330322266,848.809875488,824.135131836
824.135131836,809.330322266,853.744812012,832.360046387
820.845214844,815.91027832,857.034729004,824.135131836
824.135131836,815.91027832,863.614685059,834.005004883
819.200195312,812.620300293,875.129516602,838.940002441
807.68536377,825.780151367,860.324707031,817.555236816
807.68536377,829.070068359,852.09979248,810.975280762
802.750427246,820.845214844,868.549621582,806.040344238
792.880554199,815.91027832,873.484558105,794.525512695
786.300598145,815.91027832,871.839599609,786.300598145
769.850830078,812.620300293,871.839599609,774.785766602
761.625915527,820.845214844,863.614685059,763.270874023
758.3359375,812.620300293,870.194580078,771.495788574
750.111022949,802.750427246,881.709472656,763.270874023
746.821105957,802.750427246,875.129516602,756.690979004
741.886108398,804.395385742,871.839599609,748.466064453
735.306213379,801.105407715,875.129516602,751.75604248
735.306213379,801.105407715,871.839599609,748.466064453
740.241149902,794.525512695,880.064453125,759.980895996
723.791320801,797.815490723,866.904663086,735.306213379
725.436340332,792.880554199,868.549621582,740.241149902
723.791320801,786.300598145,865.259643555,736.951171875
730.371276855,784.655639648,855.389770508,725.436340332
733.661254883,779.720703125,850.454833984,735.306213379
725.436340332,789.590576172,848.809875488,718.856384277
727.081298828,779.720703125,860.324707031,743.53112793
728.726318359,779.720703125,853.744812012,740.241149902
736.951171875,774.785766602,857.034729004,751.75604248
741.886108398,778.075683594,855.389770508,758.3359375
735.306213379,783.010620117,843.874938965,746.821105957
738.596191406,781.365661621,845.519897461,746.821105957
745.176086426,779.720703125,852.09979248,755.045959473
755.045959473,776.430725098,843.874938965,758.3359375
758.3359375,779.720703125,842.229919434,756.690979004
764.91583252,774.785766602,860.324707031,778.075683594
756.690979004,784.655639648,843.874938965,763.270874023
766.560852051,779.720703125,852.09979248,764.91583252
774.785766602,774.785766602,843.874938965,771.495788574
773.14074707,781.365661621,837.29498291,763.270874023
776.430725098,774.785766602,840.584960938,771.495788574
774.785766602,784.655639648,827.425109863,771.495788574
783.010620117,776.430725098,837.29498291,783.010620117
792.880554199,779.720703125,838.940002441,783.010620117
804.395385742,776.430725098,852.09979248,801.105407715
807.68536377,786.300598145,842.229919434,797.815490723
817.555236816,802.750427246,835.650024414,801.105407715
810.975280762,791.235534668,840.584960938,806.040344238
810.975280762,791.235534668,838.940002441,801.105407715
820.845214844,796.170471191,834.005004883,804.395385742
827.425109863,792.880554199,840.584960938,829.070068359
843.874938965,797.815490723,842.229919434,830.715087891
853.744812012,794.525512695,843.874938965,858.679748535
858.679748535,804.395385742,842.229919434,850.454833984
868.549621582,812.620300293,835.650024414,853.744812012
878.419494629,810.975280762,842.229919434,873.484558105
883.354431152,812.620300293,847.164855957,873.484558105
886.64440918,814.265258789,829.070068359,880.064453125
886.64440918,817.555236816,824.135131836,873.484558105
893.224304199,815.91027832,832.360046387,875.129516602
896.514282227,817.555236816,825.780151367,880.064453125
889.934387207,807.68536377,837.29498291,875.129516602
898.159240723,806.040344238,835.650024414,894.86932373
899.804260254,806.040344238,830.715087891,891.579345703
899.804260254,802.750427246,829.070068359,881.709472656
906.384155273,797.815490723,817.555236816,888.289367676
906.384155273,807.68536377,801.105407715,884.999450684
898.159240723,797.815490723,825.780151367,898.159240723
901.44921875,802.750427246,815.91027832,894.86932373
904.739196777,807.68536377,810.975280762,891.579345703
901.44921875,807.68536377,810.975280762,878.419494629
908.029174805,810.975280762,809.330322266,883.354431152
911.319091797,804.395385742,825.780151367,893.224304199
912.964111328,804.395385742,822.49017334,891.579345703
899.804260254,806.040344238,814.265258789,896.514282227
909.674133301,812.620300293,819.200195312,898.159240723
912.964111328,807.68536377,825.780151367,903.094238281
911.319091797,807.68536377,820.845214844,893.224304199
917.899047852,804.395385742,822.49017334,894.86932373
912.964111328,799.460449219,820.845214844,898.159240723
914.609069824,801.105407715,825.780151367,903.094238281
916.25402832,799.460449219,832.360046387,906.384155273
914.609069824,804.395385742,824.135131836,893.224304199
916.25402832,804.395385742,827.425109863,898.159240723
899.804260254,807.68536377,825.780151367,891.579345703
912.964111328,804.395385742,840.584960938,904.739196777
901.44921875,810.975280762,838.940002441,896.514282227
899.804260254,820.845214844,830.715087891,891.579345703
916.25402832,830.715087891,832.360046387,891.579345703
909.674133301,825.780151367,837.29498291,899.804260254
911.319091797,817.555236816,838.940002441,904.739196777
906.384155273,815.91027832,840.584960938,903.094238281
904.739196777,810.975280762,838.940002441,899.804260254
901.44921875,810.975280762,842.229919434,894.86932373
903.094238281,807.68536377,834.005004883,886.64440918
893.224304199,807.68536377,830.715087891,886.64440918
883.354431152,810.975280762,827.425109863,881.709472656
886.64440918,824.135131836,822.49017334,873.484558105
884.999450684,822.49017334,829.070068359,880.064453125
886.64440918,819.200195312,825.780151367,880.064453125
883.354431152,815.91027832,827.425109863,880.064453125
873.484558105,815.91027832,825.780151367,873.484558105
886.64440918,815.91027832,840.584960938,888.289367676
886.64440918,822.49017334,832.360046387,876.774536133
884.999450684,822.49017334,832.360046387,878.419494629
871.839599609,819.200195312,830.715087891,880.064453125
866.904663086,819.200195312,832.360046387,861.969726562
858.679748535,804.395385742,845.519897461,875.129516602
857.034729004,801.105407715,838.940002441,870.194580078
858.679748535,792.880554199,838.940002441,873.484558105
852.09979248,787.945556641,834.005004883,870.194580078
852.09979248,797.815490723,825.780151367,855.389770508
853.744812012,794.525512695,829.070068359,860.324707031
850.454833984,794.525512695,832.360046387,858.679748535
845.519897461,799.460449219,824.135131836,853.744812012
852.09979248,791.235534668,829.070068359,863.614685059
848.809875488,789.590576172,837.29498291,861.969726562
848.809875488,794.525512695,835.650024414,861.969726562
852.09979248,789.590576172,842.229919434,870.194580078
843.874938965,792.880554199,835.650024414,860.324707031
842.229919434,796.170471191,829.070068359,857.034729004
838.940002441,791.235534668,834.005004883,855.389770508
834.005004883,792.880554199,835.650024414,843.874938965
838.940002441,784.655639648,840.584960938,852.09979248
842.229919434,781.365661621,837.29498291,848.809875488
853.744812012,791.235534668,834.005004883,847.164855957
863.614685059,791.235534668,837.29498291,855.389770508
853.744812012,786.300598145,840.584960938,850.454833984
840.584960938,781.365661621,838.940002441,838.940002441
842.229919434,776.430725098,838.940002441,865.259643555
842.229919434,778.075683594,840.584960938,858.679748535
847.164855957,786.300598145,837.29498291,848.809875488
852.09979248,786.300598145,835.650024414,860.324707031
845.519897461,779.720703125,852.09979248,863.614685059
838.940002441,781.365661621,842.229919434,853.744812012
835.650024414,778.075683594,845.519897461,852.09979248
832.360046387,771.495788574,845.519897461,850.454833984
830.715087891,779.720703125,832.360046387,829.070068359
832.360046387,776.430725098,837.29498291,845.519897461
832.360046387,776.430725098,835.650024414,840.584960938
825.780151367,776.430725098,825.780151367,822.49017334
815.91027832,771.495788574,829.070068359,834.005004883
820.845214844,768.205810547,830.715087891,838.940002441
822.49017334,774.785766602,825.780151367,829.070068359
822.49017334,774.785766602,825.780151367,832.360046387
825.780151367,769.850830078,827.425109863,830.715087891
824.135131836,768.205810547,819.200195312,822.49017334
827.425109863,763.270874023,827.425109863,835.650024414
824.135131836,766.560852051,827.425109863,832.360046387
824.135131836,773.14074707,824.135131836,827.425109863
825.780151367,776.430725098,827.425109863,835.650024414
822.49017334,789.590576172,815.91027832,825.780151367
835.650024414,784.655639648,822.49017334,843.874938965
834.005004883,786.300598145,832.360046387,840.584960938
830.715087891,786.300598145,837.29498291,838.940002441
832.360046387,789.590576172,842.229919434,835.650024414
834.005004883,792.880554199,847.164855957,840.584960938
834.005004883,792.880554199,842.229919434,847.164855957
825.780151367,784.655639648,838.940002441,840.584960938
830.715087891,789.590576172,835.650024414,835.650024414
820.845214844,789.590576172,834.005004883,822.49017334
822.49017334,794.525512695,838.940002441,835.650024414
829.070068359,801.105407715,837.29498291,837.29498291
827.425109863,812.620300293,827.425109863,822.49017334
837.29498291,819.200195312,827.425109863,825.780151367
835.650024414,822.49017334,829.070068359,825.780151367
835.650024414,815.91027832,837.29498291,840.584960938
835.650024414,825.780151367,837.29498291,830.715087891
834.005004883,834.005004883,837.29498291,825.780151367
837.29498291,835.650024414,838.940002441,830.715087891
842.229919434,829.070068359,847.164855957,845.519897461
840.584960938,832.360046387,843.874938965,843.874938965
837.29498291,845.519897461,837.29498291,832.360046387
835.650024414,852.09979248,832.360046387,822.49017334
834.005004883,853.744812012,832.360046387,827.425109863
834.005004883,848.809875488,840.584960938,834.005004883
837.29498291,845.519897461,845.519897461,837.29498291
835.650024414,850.454833984,838.940002441,827.425109863
838.940002441,848.809875488,840.584960938,827.425109863
838.940002441,847.164855957,835.650024414,834.005004883
845.519897461,840.584960938,847.164855957,838.940002441
845.519897461,829.070068359,853.744812012,853.744812012
838.940002441,829.070068359,840.584960938,842.229919434
835.650024414,822.49017334,834.005004883,830.715087891
834.005004883,822.49017334,827.425109863,824.135131836
827.425109863,829.070068359,829.070068359,822.49017334
832.360046387,822.49017334,837.29498291,834.005004883
832.360046387,832.360046387,830.715087891,827.425109863
827.425109863,830.715087891,834.005004883,830.715087891
827.425109863,827.425109863,840.584960938,829.070068359
832.360046387,829.070068359,843.874938965,834.005004883
829.070068359,835.650024414,840.584960938,827.425109863
825.780151367,840.584960938,835.650024414,827.425109863
837.29498291,837.29498291,834.005004883,830.715087891
837.29498291,840.584960938,838.940002441,834.005004883
834.005004883,830.715087891,843.874938965,845.519897461
838.940002441,835.650024414,843.874938965,837.29498291
834.005004883,838.940002441,848.809875488,834.005004883
837.29498291,832.360046387,855.389770508,847.164855957
832.360046387,834.005004883,847.164855957,829.070068359
832.360046387,829.070068359,843.874938965,835.650024414
835.650024414,829.070068359,852.09979248,837.29498291
835.650024414,837.29498291,845.519897461,829.070068359
840.584960938,834.005004883,845.519897461,834.005004883
840.584960938,834.005004883,855.389770508,840.584960938
834.005004883,835.650024414,845.519897461,837.29498291
834.005004883,837.29498291,845.519897461,835.650024414
834.005004883,835.650024414,843.874938965,840.584960938
